timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,torch_gpu_allocated_gb,torch_gpu_reserved_gb,torch_gpu_max_allocated_gb,nvml_gpu_used_gb,nvml_gpu_total_gb,nvml_gpu_util_percent,nvml_gpu_mem_util_percent,gpu_temp_c,gpu_power_w,run_name,phase,epoch,batch_idx,batch_time_sec,running_loss
1783908556.0748162,7.1,25.853641510009766,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.345,visual_convnext_tiny_16frames_balanced20k,train,1,590,0.2561330795288086,0.3390677758632779
1783908576.784331,6.9,25.722393035888672,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.178,visual_convnext_tiny_16frames_balanced20k,train,1,600,0.24757719039916992,0.33772601045903666
1783908598.7834306,6.8,25.72931671142578,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.401,visual_convnext_tiny_16frames_balanced20k,train,1,610,0.24298310279846191,0.33602146214139444
1783908631.4751916,7.0,25.771167755126953,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,50,24,46,73.546,visual_convnext_tiny_16frames_balanced20k,train,1,620,0.25326037406921387,0.33402591173487584
1783908664.4829211,6.9,25.635814666748047,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,47,23,46,82.616,visual_convnext_tiny_16frames_balanced20k,train,1,630,0.259807825088501,0.33237991983841414
1783908686.723915,7.4,25.780166625976562,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,82,41,47,75.215,visual_convnext_tiny_16frames_balanced20k,train,1,640,0.2596473693847656,0.33173776922424947
1783908709.719011,7.2,25.720314025878906,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,45,21,47,75.703,visual_convnext_tiny_16frames_balanced20k,train,1,650,0.24327468872070312,0.3303224883756147
1783908743.5753229,7.0,25.797733306884766,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.97,visual_convnext_tiny_16frames_balanced20k,train,1,660,0.2547433376312256,0.32903248859560974
1783908772.9186604,6.9,25.743724822998047,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,76,39,46,121.33,visual_convnext_tiny_16frames_balanced20k,train,1,670,0.23917460441589355,0.32749660743952863
1783908794.4253483,7.2,25.755836486816406,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.303,visual_convnext_tiny_16frames_balanced20k,train,1,680,0.25530171394348145,0.32526042895520135
1783908814.3844724,7.2,25.671611785888672,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,88,46,47,75.193,visual_convnext_tiny_16frames_balanced20k,train,1,690,0.24343204498291016,0.3235124579365278
1783908851.9257975,7.1,25.568275451660156,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,67,34,46,74.144,visual_convnext_tiny_16frames_balanced20k,train,1,700,0.2546358108520508,0.3216541509187851
1783908876.275959,7.2,25.72238540649414,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,51,25,46,74.539,visual_convnext_tiny_16frames_balanced20k,train,1,710,0.2575383186340332,0.3201161271849262
1783908900.97685,7.1,25.681663513183594,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,81,41,47,92.812,visual_convnext_tiny_16frames_balanced20k,train,1,720,0.256305456161499,0.3196226487481313
1783908922.075298,7.0,25.79291534423828,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.401,visual_convnext_tiny_16frames_balanced20k,train,1,730,0.2555878162384033,0.3186307543259313
1783908959.8188078,7.2,25.920623779296875,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,62,31,46,75.215,visual_convnext_tiny_16frames_balanced20k,train,1,740,0.2464594841003418,0.31689935688346665
1783908983.8203146,7.1,25.835205078125,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,89,47,46,73.715,visual_convnext_tiny_16frames_balanced20k,train,1,750,0.24284148216247559,0.3158550385569288
1783909007.6235957,7.2,25.75939178466797,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,90,46,47,76.073,visual_convnext_tiny_16frames_balanced20k,train,1,760,0.24758338928222656,0.3145654559155018
1783909028.274798,7.1,25.808284759521484,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.498,visual_convnext_tiny_16frames_balanced20k,train,1,770,0.2551460266113281,0.3131914351488211
1783909068.5856502,7.1,25.574302673339844,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,80,39,46,95.023,visual_convnext_tiny_16frames_balanced20k,train,1,780,0.24334096908569336,0.3112968135238762
1783909091.678214,7.3,25.547740936279297,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,83,43,46,73.351,visual_convnext_tiny_16frames_balanced20k,train,1,790,0.29367756843566895,0.3105306598709899
1783909114.418753,7.2,25.723247528076172,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,94,50,47,73.949,visual_convnext_tiny_16frames_balanced20k,train,1,800,0.24326086044311523,0.30962932146109
1783909134.0193348,7.1,25.848251342773438,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.52,visual_convnext_tiny_16frames_balanced20k,train,1,810,0.2433464527130127,0.30821055398953096
1783909170.3202877,7.2,25.894866943359375,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,46,73.178,visual_convnext_tiny_16frames_balanced20k,train,1,820,0.24777603149414062,0.30719218345928423
1783909198.722135,7.1,25.832988739013672,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,17,7,45,73.176,visual_convnext_tiny_16frames_balanced20k,train,1,830,0.29012036323547363,0.3057953961435638
